id,capability,current_owner,language_process,entry_and_visible_result,inputs_outputs_storage,runtime_geometry,contract_authority,decision,score,evidence,baseline_status,child_ticket
MC-11,CV and window planning,TS sizing services and Python embargo helper,Electron and Python child,Discovery configuration to bounded plan,Bars folds embargo and windows,One helper plus downstream workers,cv-sizing-contract plus duplicates,migrate,18,data-snapshot-spec.ts launches helper,boundary fixtures pending,TICKET_1292_11
MC-12,Sweep scheduling and supervision,Electron orchestrator sweep-runner and Python fit,TypeScript and Python workers,Discovery launch to progress and results,Grid plans artifacts logs and cancellation,Queue plus up to configured workers,Split scheduler state,measure,17,discovery-orchestrator.ts and sweep-runner,fresh workload required,TICKET_1292_12_AFTER_MEASURE
MC-13,Production ML inference,Python signal sources and C++ ONNX,Python and C++,Accepted model to per-bar signal,Model artifact features tensors and signals,Training worker or executor,Model-specific Python metadata,migrate,18,executor ONNX loader and Python sources,model-family parity pending,TICKET_1292_13
MC-14,Similarity clustering and ensembles,signal-discovery TS and C++ fusion,TypeScript and C++,Candidate signals to selected weights,Matrices clusters and weights,Electron plus fusion runner,Split TS and C++ policy,migrate,20,signal-correlation-checker and fusion runner,fixture capture pending,TICKET_1292_14
MC-15,Deterministic helper subprocesses,Electron utility services,TypeScript launching Python or Git,Launch preparation to hash manifest or import,Source trees manifests and JSON,Short-lived subprocesses,Per-helper CLI contracts,measured: code_version migrated to C++ --code-version; rdagent-import kept in Python (not deterministic/not launch-path per 5C-0),11,code-version-cache MIGRATED; data-snapshot-spec done in 1292_11; rdagent-import scoped out,code_version_parity_v1 golden-pinned; live AC pending,TICKET_1292_15_AFTER_MEASURE
MC-16,DuckDB and cache copy,duckdb-copy-child and storage services,Node child supervising native DuckDB,Bounded copy request to cache artifact,Parquet and DuckDB files,One short-lived Node child,TS message contract plus native DuckDB SQL,retain,10,measurements/mc-16-duckdb-copy-decision.md,native DuckDB ownership and bounded data-plane evidence; no speedup claim,none
MC-17,Compact model inference,Python signal source classes,Python workers,Accepted artifact to signals,Model artifacts features and probabilities,Python training or inference workers,Per-model implicit semantics,measure,15,TICKET_1292 section 8.2,per-family parity pending,TICKET_1292_17_AFTER_MEASURE
MC-18,Vendor data acquisition,provider-specific Python and TS adapters,Electron plus bounded vendor SDK helpers,Provider request to OHLCV cache,Remote SDK response to normalized bars,Bounded provider subprocesses,IDataProvider plus provider window and cache-schema contracts,retain-acquisition-migrate-data-plane,9,measurements/mc-18-provider-acquisition-decision.md,bounded post-fetch production baseline recorded,TICKET_1292_07
MC-19,Plugin processes and dependency installation,plugin process and market services,Electron utility process plus package ecosystems,Plugin install or launch to UI capability,Plugin package process messages and files,One utility process per independent plugin,Plugin lifecycle tier manifest and MessagePort contracts,retain,8,measurements/mc-19-plugin-process-decision.md,platform-boundary decision and lifecycle tests recorded,none
MC-20,Electron SQLite control plane,database services,TypeScript Electron Main,IPC request to durable UI record,SQLite CRUD and migrations,Single Electron Main owner,Database schemas migrations and IPC types,retain,6,measurements/mc-20-electron-sqlite-decision.md,no performance claim,none
MC-21,Complete OHLCV and BYOD canonical data plane,provider adapters cache manager aggregation pooling and data import,TypeScript Electron Main plus vendor adapters,Provider or import request to canonical cache aggregate and pooled artifacts,OHLCV batches Parquet files manifests and SQLite metadata,Electron in-process arrays plus bounded vendor adapters,Split provider cache aggregation pooling and BYOD contracts,migrate,21,measurements/mc-21-pre-migration-data-plane-decision.md,pre-migration owners and safe isolated observations recorded; packaged representative journeys pending,TICKET_1292_21
